DATE,POOL,MATCH,MATCH,MATCH,MATCH,MATCH,KICK-OFFS,VENUE,LIVE BROADCASTS
 Sept. 20 2019,A,Japan,30,–,10,Russia,19:45,Tokyo Stadium,"J-Sports, NTV, BS1"
 Sept. 21 2019,D,Australia,39,–,21,Fiji,13:45,Sapporo Dome,"J-Sports, NTV, BS1"
 Sept. 21 2019,C,France,23,–,21,Argentina,16:15,Tokyo Stadium,J-Sports
 Sept. 21 2019,B,New Zealand,23,–,13,South Africa,18:45,International Stadium Yokohama,J-Sports
 Sept. 22 2019,B,Italy,47,–,22,Namibia,14:15,Hanazono Rugby Stadium,J-Sports
 Sept. 22 2019,A,Ireland,27,–,3,Scotland,16:45,International Stadium Yokohama,J-Sports
 Sept. 22 2019,C,England,35,–,3,Tonga,19:15,Sapporo Dome,"J-Sports, BS1"
 Sept. 23 2019,D,Wales,43,–,14,Georgia,19:15,City of Toyota Stadium,"J-Sports, BS2"
 Sept. 24 2019,A,Russia,9,–,34,Samoa,19:15,Kumagaya Rugby Stadium,J-Sports
 Sept. 25 2019,D,Fiji,27,–,30,Uruguay,14:15,Kamaishi Recovery Memorial Stadium,J-Sports
 Sept. 26 2019,B,Italy,48,–,7,Canada,16:45,Fukuoka Hakatanomori Stadium,J-Sports
 Sept. 26 2019,C,England,45,–,7,United States,19:45,Kobe Misaki Stadium,"J-Sports, NTV"
 Sept. 28 2019,C,Argentina,28,–,12,Tonga,13:45,Hanazono Rugby Stadium,"J-Sports, BS1"
 Sept. 28 2019,A,Japan,19,–,12,Ireland,16:15,Shizuoka Stadium Ecopa,"J-Sports, NHK (G)"
 Sept. 28 2019,B,South Africa,57,–,3,Namibia,18:45,City of Toyota Stadium,J-Sports
 Sept. 29 2019,D,Georgia,33,–,7,Uruguay,14:15,Kumagaya Rugby Stadium,J-Sports
 Sept. 29 2019,D,Australia,25,–,29,Wales,16:45,Tokyo Stadium,"J-Sports, NTV"
 Sept. 30 2019,A,Scotland,34,–,0,Samoa,19:15,Kobe Misaki Stadium,"J-Sports, NTV"
 Oct. 2 2019,C,France,33,–,9,United States,16:45,Fukuoka Hakatanomori Stadium,J-Sports
 Oct. 2 2019,B,New Zealand,63,–,0,Canada,19:15,Oita Stadium,"J-Sports, NHK"
 Oct. 3 2019,D,Georgia,10,–,45,Fiji,14:15,Hanazono Rugby Stadium,J-Sports
 Oct. 4 2019,B,South Africa,49,–,3,Italy,18:45,Shizuoka Stadium Ecopa,"J-Sports, NTV"
 Oct. 5 2019,D,Australia,45,–,10,Uruguay,14:15,Oita Stadium,J-Sports
 Oct. 5 2019,C,England,39,–,10,Argentina,17:00,Tokyo Stadium,"J-Sports, NTV"
 Oct 5 2019,A,Japan,38,–,19,Samoa,19:30,City of Toyota Stadium,"J-Sports, NTV"
 Oct. 6 2019,B,New Zealand,71,–,9,Namibia,13:45,Tokyo Stadium,"J-Sports, NTV"
 Oct. 6 2019,C,France,23,–,21,Tonga,16:45,Kumamoto Stadium,J-Sports
 Oct. 8 2019,B,South Africa,66,–,7,Canada,19:15,Kobe Misaki Stadium,J-Sports
 Oct. 9 2019,C,Argentina,vs.,vs.,vs.,United States,13:45,Kumagaya Rugby Stadium,J-Sports
 Oct. 9 2019,A,Scotland,vs.,vs.,vs.,Russia,16:15,Shizuoka Stadium Ecopa,"J-Sports, NTV"
 Oct. 9 2019,D,Wales,vs.,vs.,vs.,Fiji,18:45,Oita Stadium,J-Sports
 Oct. 11 2019,D,Australia,vs.,vs.,vs.,Georgia,19:15,Shizuoka Stadium Ecopa,J-Sports
 Oct. 12 2019,B,New Zealand,vs.,vs.,vs.,Italy,13:45,City of Toyota Stadium,J-Sports
 Oct. 12 2019,C,England,vs.,vs.,vs.,France,17:15,International Stadium Yokohama,J-Sports
 Oct 12 2019,A,Ireland,vs.,vs.,vs.,Samoa,19:45,Fukuoka Hakatanomori Stadium,J-Sports
 Oct. 13 2019,B,Namibia,vs.,vs.,vs.,Canada,12:15,Kamaishi Recovery Memorial Stadium,"J-Sports, NTV"
 Oct. 13 2019,C,United States,vs.,vs.,vs.,Tonga,14:45,Hanazono Rugby Stadium,J-Sports
 Oct. 13 2019,D,Wales,vs.,vs.,vs.,Uruguay,17:15,Kumamoto Stadium,J-Sports
 Oct. 13 2019,A,Japan,vs.,vs.,vs.,Scotland,19:45,International Stadium Yokohama,J-Sports
 Oct. 19 2019,–,QF1: W Pool C,vs.,vs.,vs.,RU Pool D,16:15,Oita Stadium,"J-Sports, BS1"
 Oct. 19 2019,–,QF2: W Pool B,vs.,vs.,vs.,RU Pool A,19:15,Tokyo Stadium,"J-Sports, NTV"
 Oct. 20 2019,–,QF3: W Pool D,vs.,vs.,vs.,RU Pool C,16:15,Oita Stadium,"J-Sports, NTV"
 Oct. 20 2019,–,QF4: W Pool A,vs.,vs.,vs.,RU Pool B,19:15,Tokyo Stadium,"J-Sports, BS1"
 Oct. 26 2019,–,SF1: W QF1,vs.,vs.,vs.,W QF2,17:00,International Stadium Yokohama,"J-Sports, BS2"
 Oct. 27 2019,–,SF2: W QF3,vs.,vs.,vs.,W QF4,18:00,International Stadium Yokohama,"J-Sports, NTV"
 Nov. 1 2019,–,Bronze final,Bronze final,Bronze final,Bronze final,Bronze final,18:00,Tokyo Stadium,"J-Sports, BS1"
 Nov. 2 2019,–,Final,Final,Final,Final,Final,18:00,International Stadium Yokohama,"J-Sports, NTV, BS1"
